"Gene.symbol","logFC","adj.P.Val"
"NECAB1",-4.39096633307725,1.59455504606357e-19
"FNDC9",-3.53665138542827,1.96912807412992e-19
"DYNLT1",2.13322872281078,2.04077920875711e-19
"LOC401220",-2.92578836607916,2.43175351532929e-19
"RBM3",2.74355770350512,2.6594662968934e-19
"LOC283713",-4.05289879034293,2.6594662968934e-19
"PABPC1L2B",-3.1374481193165,2.67355791431242e-19
"LOC101930324",-2.89678134000901,2.74655617729413e-19
"PANX2",-3.5680566057384,3.05470930087983e-19
"CES4A",-3.47520778943005,3.30964761022758e-19
"ITPKA",-5.00858659639356,3.40350175893071e-19
"GPX7",4.33504854387771,3.52419661867099e-19
"TP53INP1",3.18515446033563,4.05947405890447e-19
"GABRA1",-7.24913474764011,4.3894107516605e-19
"MCHR2",-1.46896420316844,4.58887624550373e-19
"CPLX2",-5.83229603634385,4.59120858864142e-19
"SYT3",-3.79193407451703,4.84988604224375e-19
"SST",-7.43808476087475,5.21342445669092e-19
"B3GNT4",-1.40949327288356,6.17426557299836e-19
"ICAM5",-2.28204880729422,6.86598283340671e-19
"LOC100287576",-1.8676881265597,7.96241527345218e-19
"PAK1",-3.54512007117443,8.35961290431766e-19
"RTN4RL1",-4.01854568760855,8.43463497619212e-19
"YBX1",1.49090258057198,1.18852479868661e-18
"MVB12A",2.38264225318106,1.22948506463412e-18
"SLC26A4-AS1",-3.85880483747028,1.22948506463412e-18
"LYNX1",-3.77431215096148,1.26451495524157e-18
"GTF2H2B",2.68439861763543,1.33869606374543e-18
"MGME1",2.03458691838304,1.33869606374543e-18
"SPTBN4",-2.59956466502413,1.35000570345403e-18
"TLN2",-4.18779448309448,1.50955648584953e-18
"LMO7",-1.64768515449553,1.5154662352168e-18
"SMC1A",1.99099516536468,1.82598655214252e-18
"MADD",-2.2555591975578,1.93703826908856e-18
"AKAP5",-3.09297735479941,1.95998483431144e-18
"SVOP",-6.85126862050638,2.14113186493671e-18
"HS3ST4",-5.36336765321368,2.18140377818646e-18
"RGS8",-3.53001416035996,2.84499698723907e-18
"MAP2K4",-1.96413456394971,3.68034920642279e-18
"GARNL3",-3.11274906032492,3.82573659288493e-18
"HTR5A",-1.21926147157397,4.45506923851266e-18
"PELI3",-2.62957870117259,4.49123802451785e-18
"NEFL",-6.06534831875885,5.24261600902572e-18
"DGCR5",-4.6594090672831,5.37307314029403e-18
"ANXA3",-4.09001239431637,6.1100077645847e-18
"DDOST",1.57654569052328,6.40415842012133e-18
"ATP2B3",-3.75297569764372,6.69327193882841e-18
"DLG4",-3.44322844557542,6.86757391966396e-18
"VIP",-3.69308765106253,6.87994742940088e-18
"CLEC4GP1",-1.25738369962295,7.41483553181389e-18
"FBXW7",-2.88213420502893,8.92732543303039e-18
"CCDC90B",1.19178053714385,1.05251717583813e-17
"PRKCE",-4.2165256085121,1.06439107891272e-17
"CALY",-6.15828441183307,1.0720713245847e-17
"PRRT3",-3.27050698790013,1.1096852563254e-17
"PNMAL2",-4.31752277639922,1.1096852563254e-17
"DMTN",-4.25487246921414,1.11580531185292e-17
"SMIM15",1.1232462935063,1.12877675974757e-17
"FABP3",-3.88937525736233,1.21956819327112e-17
"MOBP",-6.45858739550072,1.57584445760608e-17
"DTNB",-2.64925526510329,1.59521566925226e-17
"MAPK8IP2",-2.67153101846562,1.73065399415415e-17
"FAM114A2",1.75183907109586,1.73065399415415e-17
"HTR2A",-4.79688568553169,1.78388422268038e-17
"RXFP1",-3.10690453523761,1.84497483494305e-17
"CDH9",-2.34606838710191,2.19682571581685e-17
"CYP20A1",1.97546378255429,2.24600652063101e-17
"OGDHL",-4.91957822945201,2.25981599780141e-17
"PRDX4",2.20331172421973,2.96254980176739e-17
"SLC25A41",-1.12101021728008,3.23901585870987e-17
"RASAL1",-2.3312946369718,3.28217437610174e-17
"UMPS",1.64638290612235,3.42656356124248e-17
"RBM11",-2.96587222623695,3.47198035739001e-17
"GABRB2",-6.32428610274649,3.75135097381551e-17
"CKLF-CMTM1",2.66193147106805,3.75135097381551e-17
"GNAI3",1.47528632034096,3.77485499988439e-17
"HMGN1",1.71487528611703,4.02639220405289e-17
"PSD",-2.64494023291513,4.08743625825813e-17
"PPP1R16B",-4.97735775055654,4.42537318482082e-17
"CDK1",5.22345691439355,4.44667028661604e-17
"STAT4",-3.68993829176003,4.58427027128963e-17
"SYNPR",-8.14239158278416,4.72158520508502e-17
"SNRPG",1.43581792638066,4.76038856346182e-17
"SYT12",-2.8867990367054,5.04967594910817e-17
"SEC61B",1.01981246194904,5.08418057270274e-17
"UNC13A",-3.08825458958739,5.08418057270274e-17
"HSD17B10",1.7215754389879,5.19654124640986e-17
"MYPOP",-2.42257963370112,5.19654124640986e-17
"RUSC2",-2.659935614905,5.99887902063979e-17
"ZNF70",2.36663274106528,6.10938241946482e-17
"CNTNAP4",-4.66917272732137,7.14406194652909e-17
